classified_under_executive_order,classification_still_in_force,purely_internal_personnel_rule,exempt_by_other_statute,trade_secret_or_commercial_confidential,commercial_info_voluntarily_submitted,inter_or_intra_agency_memo,pre_decisional_deliberative,attorney_work_product_or_privileged,personnel_medical_or_similar_file,unwarranted_privacy_invasion,law_enforcement_record,law_enforcement_harm_proceedings,law_enforcement_harm_privacy,law_enforcement_harm_source,law_enforcement_harm_techniques,law_enforcement_harm_life_safety,financial_institution_examination_report,geological_well_data,record_is_otherwise_public,other_party_is_federal_agency_or_consultant,exemption,source,note
true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b1,5 U.S.C. § 552(b)(1),(A) specifically authorized under criteria established by an Executive order to be kept secret in the interest of national defense or foreign policy and (B) are in fact properly classified pursuant...
false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b2,5 U.S.C. § 552(b)(2),related solely to the internal personnel rules and practices of an agency
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b3,5 U.S.C. § 552(b)(3),specifically exempted from disclosure by statute
false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b4,5 U.S.C. § 552(b)(4),trade secrets and commercial or financial information obtained from a person and privileged or confidential
false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b4,5 U.S.C. § 552(b)(4),commercial or financial information obtained from a person and privileged or confidential
false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,b5,5 U.S.C. § 552(b)(5),inter- agency or intra- agency memorandums or letters that would not be available by law to a party other than an agency in litigation with the agency
false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,b5,5 U.S.C. § 552(b)(5),inter- agency or intra- agency memorandums or letters that would not be available by law to a party other than an agency in litigation with the agency
false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,b6,5 U.S.C. § 552(b)(6),personnel and medical files and similar files the disclosure of which would constitute a clearly unwarranted invasion of personal privacy
false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,b7,5 U.S.C. § 552(b)(7),records or information compiled for law enforcement purposes
false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,b7,5 U.S.C. § 552(b)(7),records or information compiled for law enforcement purposes
false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,b7,5 U.S.C. § 552(b)(7),records or information compiled for law enforcement purposes
false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,b7,5 U.S.C. § 552(b)(7),records or information compiled for law enforcement purposes
false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,b7,5 U.S.C. § 552(b)(7),records or information compiled for law enforcement purposes
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,b8,5 U.S.C. § 552(b)(8),"contained in or related to examination, operating, or condition reports prepared by, on behalf of, or for the use of an agency responsible for the regulation or supervision of financial institutions"
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,b9,5 U.S.C. § 552(b)(9),"geological and geophysical information and data, including maps, concerning wells"
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,releasable,5 U.S.C. § 552(a),No (b)(N) element present — baseline releasable.
true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,releasable,5 U.S.C. § 552(b)(1),Classified under an Executive Order but the classification is not currently in force — co-requirement absent: are in fact properly classified pursuant to such Executive order
false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,releasable,5 U.S.C. § 552(b)(5),Inter/intra-agency memo that is neither pre-decisional/deliberative nor privileged — co-requirement absent: inter- agency or intra- agency memorandums or letters that would not be available by law
false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,releasable,5 U.S.C. § 552(b)(6),Personnel/medical/similar file whose disclosure does not constitute an unwarranted invasion of personal privacy — co-requirement absent
false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,releasable,5 U.S.C. § 552(b)(7),Law enforcement record whose production would not cause any of the six (A)-(F) harms — co-requirement absent
false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,releasable,"Dep't of Interior v. Klamath, 532 U.S. 1 (2001); DOJ FOIA Guide, Exemption 5, p. 5",Klamath: pre-decisional deliberative communications with non-agency parties (tribes) whose own adverse interests prevent them from qualifying as agency or consultant are outside (b)(5). — co-requirement absent
